name,license_no,type,address_line_1,city,state,zip,phone,website,total_beds
1 KIND HOME LLC,11968002,assisted_living,911 SW 12TH AVE # 913,MIAMI,FL,33130-3627,(305) 285-1012,,12
A & D LOVE AND CARE INC,12962339,assisted_living,5931 NW 173RD DR,HIALEAH,FL,33015-5107,(305) 510-5745,,30
A & L ADULT DAY CARE CORP,12962633,assisted_living,5911 NW 173RD DR UNIT 12,HIALEAH,FL,33015-5122,(305) 491-0062,,55
"A GARDEN OF HOPE ASSISTED LIVING, INC",11970658,assisted_living,8730 SW 127 TERR,MIAMI,FL,33176,(305) 666-5654,,6
A HOME AWAY FROM HOME ALF INC,11964920,assisted_living,1851 SW 142ND AVE,MIAMI,FL,33175-7034,(305) 229-1315,,6
"A LOVELY HOME CARE BY GT, INC",11968570,assisted_living,4911 SW 132ND AVE,MIAMI,FL,33175-5245,(786) 536-6734,,6
"A LOVING HOME ENTERPRISES, INC.",11953636,assisted_living,3640 SW 91ST AVE # 42,MIAMI,FL,33165-4361,(786) 447-4223,,6
A MI MANERA ADULT DAY CARE,12962493,assisted_living,7397 SW 8TH ST,MIAMI,FL,33144-4539,(786) 332-2429,www.amimaneraadc.com,84
A MI MANERA ADULT DAYCARE HIALEAH INC,12962685,assisted_living,851 PALM AVE,HIALEAH,FL,33010-4319,(786) 332-2429,www.amimaneraadc.com,100
A PIEDRA ALF INC,11964967,assisted_living,7960 SW 36 STREET,MIAMI,FL,33155,(786) 803-8116,,6
"A SWEET ALF, INC.",11964442,assisted_living,18400 NW 81 COURT,HIALEAH,FL,33015,(305) 999-7347,,6
A+ SENIOR HOME INC,11966253,assisted_living,41 SW 68TH AVE,MIAMI,FL,33144-2805,(305) 264-4565,N/A,6
"A-1 ASSISTED LIVING FACILITY, LLC",11967137,assisted_living,9410 SW 52 TERRACE,MIAMI,FL,33165,(305) 613-3625,,6
A1 SENIOR CLUB INC,12962947,assisted_living,2505 NW 54TH ST,MIAMI,FL,33142,(786) 964-4045,,65
"A1A CARE CENTER, INC",11965862,assisted_living,641 WEST 33 STREET,HIALEAH,FL,33012,(305) 825-4600,,6
ABBYS ADULT DAY CARE INC,12962551,assisted_living,8872 NW 7TH AVE,MIAMI,FL,33150,(786) 360-5346,abbysadultdaycare.com,80
ABC ADULT DAY CARE LLC,12962542,assisted_living,11150 SW 211TH ST STE 100,CUTLER BAY,FL,33189-2844,(786) 478-6860,,155
"ABC MIAMI ADULT DAY CARE, LLC",12962701,assisted_living,11865 SW 26TH ST STE G9,MIAMI,FL,33175-2471,(786) 472-9072,,40
ABC-ALSY ADULT DAY CARE CENTERS LLC,12962294,assisted_living,248 NW 9TH AVE,HOMESTEAD,FL,33030-5754,(305) 242-5333,,107
ABIS 'ADULT DAY CARE INC,12962272,assisted_living,10910 W FLAGLER ST STE 109-110,MIAMI,FL,33174-1280,(786) 536-5159,,23
ABUELAS RETIREMENT HOME INC,11965367,assisted_living,4257 SW 154TH CT,MIAMI,FL,33185-4259,(305) 227-6682,,6
"ABUELITAS HOME, INC",11965741,assisted_living,15257 SW 61ST ST,MIAMI,FL,33193-2559,(786) 229-3431,,6
ABUELO EUSEBIO ALF CORPORATION,11969716,assisted_living,28361 SW 158 AVE,HOMESTEAD,FL,33033,(305) 648-7113,,6
ABUELO'S DAY CARE CORP,12962226,assisted_living,15435 SW 137TH AVE,MIAMI,FL,33177-1279,(305) 525-0355,,50
ABUELOS ADULT CARE LLC,12962839,assisted_living,5152 W FLAGLER ST,CORAL GABLES,FL,33134,(786) 486-9878,,22
ABUELOS ALF INC,11969229,assisted_living,1031 NW 39 CT,MIAMI,FL,33126,(305) 456-7330,None,6
"ACC SUNSHINE, INC",11969728,assisted_living,10899 SW 229 ST,MIAMI,FL,33170,(786) 303-5713,https://www.accsunshinealf.com,6
ACEVEDO WELLNESS CENTER LLC,12962858,assisted_living,5450 SW 8TH ST STE 101,CORAL GABLES,FL,33134,(786) 942-5070,,15
ACHOY ASSISTED LIVING INC,11969155,assisted_living,3601 W 11 AVE,HIALEAH,FL,33012,(305) 826-6365,,27
ACTS ADULT CARE CENTER LLC,12962491,assisted_living,8765 SW 165TH AVE STE 103-104,MIAMI,FL,33193-5831,(786) 409-2317,www.actsacc.com,66
ADA ALF INC,11966547,assisted_living,683 NW 122ND PL,MIAMI,FL,33182-2020,(305) 226-4283,,6
ADA RETIREMENT HOME INC,11969210,assisted_living,230 SW 119TH AVE,MIAMI,FL,33184,(786) 239-4946,,6
ADAM F/F INC,11910896,assisted_living,34 W 14TH ST,HIALEAH,FL,33010,(305) 888-6356,,21
ADAM HOME # 2 INC.,11963775,assisted_living,1045 W 2ND AVE,HIALEAH,FL,33010-3801,(305) 888-7257,,12
